rho,betak1,Li1,gammai1,Li2,gammai2,Li3,gammai3,Li4,gammai4,beta,eta,L,gamma
1.650000e-01,8.154100e-41,4.145128e-01,0.000000e+00,4.145128e-01,0.000000e+00,7.255341e-02,0.000000e+00,7.255341e-02,0.000000e+00,8.154100e-41,1.650000e-01,9.741324e-01,4.234537e+00
1.700000e-01,4.746298e-40,4.346058e-01,0.000000e+00,4.346058e-01,0.000000e+00,7.505806e-02,0.000000e+00,7.505806e-02,0.000000e+00,4.746298e-40,1.700000e-01,1.019328e+00,4.169415e+00
1.750000e-01,2.621681e-39,4.553810e-01,0.000000e+00,4.553810e-01,0.000000e+00,7.758531e-02,0.000000e+00,7.758531e-02,0.000000e+00,2.621681e-39,1.750000e-01,1.065933e+00,4.104387e+00
1.800000e-01,1.378208e-38,4.768689e-01,0.000000e+00,4.768689e-01,0.000000e+00,8.013577e-02,0.000000e+00,8.013577e-02,0.000000e+00,1.378208e-38,1.800000e-01,1.114009e+00,4.039464e+00
1.850000e-01,6.913853e-38,4.991014e-01,0.000000e+00,4.991014e-01,0.000000e+00,8.271003e-02,0.000000e+00,8.271003e-02,0.000000e+00,6.913853e-38,1.850000e-01,1.163623e+00,3.974655e+00
1.900000e-01,3.317889e-37,5.221124e-01,0.000000e+00,5.221124e-01,0.000000e+00,8.530876e-02,0.000000e+00,8.530876e-02,0.000000e+00,3.317889e-37,1.900000e-01,1.214842e+00,3.909972e+00
1.950000e-01,1.526590e-36,5.459371e-01,0.000000e+00,5.459371e-01,0.000000e+00,8.793265e-02,0.000000e+00,8.793265e-02,0.000000e+00,1.526590e-36,1.950000e-01,1.267740e+00,3.845427e+00
2.000000e-01,6.748521e-36,5.706127e-01,0.000000e+00,5.706127e-01,0.000000e+00,9.058243e-02,0.000000e+00,9.058243e-02,0.000000e+00,6.748521e-36,2.000000e-01,1.322390e+00,3.781032e+00
2.050000e-01,2.871835e-35,5.961782e-01,0.000000e+00,5.961782e-01,0.000000e+00,9.325887e-02,0.000000e+00,9.325887e-02,0.000000e+00,2.871835e-35,2.050000e-01,1.378874e+00,3.716800e+00
2.100000e-01,1.178562e-34,6.226744e-01,0.000000e+00,6.226744e-01,0.000000e+00,9.596279e-02,0.000000e+00,9.596279e-02,0.000000e+00,1.178562e-34,2.100000e-01,1.437274e+00,3.652747e+00
2.150000e-01,4.672064e-34,6.501444e-01,0.000000e+00,6.501444e-01,0.000000e+00,9.869507e-02,0.000000e+00,9.869507e-02,0.000000e+00,4.672064e-34,2.150000e-01,1.497679e+00,3.588887e+00
2.200000e-01,1.791843e-33,6.786329e-01,0.000000e+00,6.786329e-01,0.000000e+00,1.014566e-01,0.000000e+00,1.014566e-01,0.000000e+00,1.791843e-33,2.200000e-01,1.560179e+00,3.525236e+00
2.250000e-01,6.658100e-33,7.081872e-01,0.000000e+00,7.081872e-01,0.000000e+00,1.042484e-01,0.000000e+00,1.042484e-01,0.000000e+00,6.658100e-33,2.250000e-01,1.624871e+00,3.461813e+00
2.300000e-01,2.400175e-32,7.388564e-01,0.000000e+00,7.388564e-01,0.000000e+00,1.070716e-01,0.000000e+00,1.070716e-01,0.000000e+00,2.400175e-32,2.300000e-01,1.691856e+00,3.398635e+00
2.350000e-01,8.404686e-32,7.706919e-01,0.000000e+00,7.706919e-01,0.000000e+00,1.099271e-01,0.000000e+00,1.099271e-01,0.000000e+00,8.404686e-32,2.350000e-01,1.761238e+00,3.335722e+00
2.400000e-01,2.862167e-31,8.037476e-01,0.000000e+00,8.037476e-01,0.000000e+00,1.128162e-01,0.000000e+00,1.128162e-01,0.000000e+00,2.862167e-31,2.400000e-01,1.833128e+00,3.273094e+00
2.450000e-01,9.489421e-31,8.380794e-01,0.000000e+00,8.380794e-01,0.000000e+00,1.157402e-01,0.000000e+00,1.157402e-01,0.000000e+00,9.489421e-31,2.450000e-01,1.907639e+00,3.210775e+00
2.500000e-01,3.066211e-30,8.737455e-01,0.000000e+00,8.737455e-01,0.000000e+00,1.187004e-01,0.000000e+00,1.187004e-01,0.000000e+00,3.066211e-30,2.500000e-01,1.984892e+00,3.148786e+00
2.550000e-01,9.664972e-30,9.108065e-01,0.000000e+00,9.108065e-01,0.000000e+00,1.216982e-01,0.000000e+00,1.216982e-01,0.000000e+00,9.664972e-30,2.550000e-01,2.065009e+00,3.087153e+00
2.600000e-01,2.974602e-29,9.493252e-01,0.000000e+00,9.493252e-01,0.000000e+00,1.247351e-01,0.000000e+00,1.247351e-01,0.000000e+00,2.974602e-29,2.600000e-01,2.148121e+00,3.025901e+00
2.650000e-01,8.946574e-29,9.893667e-01,0.000000e+00,9.893667e-01,0.000000e+00,1.278128e-01,0.000000e+00,1.278128e-01,0.000000e+00,8.946574e-29,2.650000e-01,2.234359e+00,2.965056e+00
2.700000e-01,2.631673e-28,1.030998e+00,0.000000e+00,1.030998e+00,0.000000e+00,1.309329e-01,0.000000e+00,1.309329e-01,0.000000e+00,2.631673e-28,2.700000e-01,2.323861e+00,2.904648e+00
2.750000e-01,7.576739e-28,1.074288e+00,0.000000e+00,1.074288e+00,0.000000e+00,1.340973e-01,0.000000e+00,1.340973e-01,0.000000e+00,7.576739e-28,2.750000e-01,2.416770e+00,2.844706e+00
2.800000e-01,2.136567e-27,1.119308e+00,0.000000e+00,1.119308e+00,0.000000e+00,1.373079e-01,0.000000e+00,1.373079e-01,0.000000e+00,2.136567e-27,2.800000e-01,2.513231e+00,2.785259e+00
2.850000e-01,5.905085e-27,1.166130e+00,0.000000e+00,1.166130e+00,0.000000e+00,1.405668e-01,0.000000e+00,1.405668e-01,0.000000e+00,5.905085e-27,2.850000e-01,2.613393e+00,2.726341e+00
2.900000e-01,1.600611e-26,1.214828e+00,0.000000e+00,1.214828e+00,0.000000e+00,1.438762e-01,0.000000e+00,1.438762e-01,0.000000e+00,1.600611e-26,2.900000e-01,2.717408e+00,2.667983e+00
2.950000e-01,4.257509e-26,1.265478e+00,0.000000e+00,1.265478e+00,0.000000e+00,1.472383e-01,0.000000e+00,1.472383e-01,0.000000e+00,4.257509e-26,2.950000e-01,2.825432e+00,2.610220e+00
3.000000e-01,1.111938e-25,1.318154e+00,0.000000e+00,1.318154e+00,0.000000e+00,1.506558e-01,0.000000e+00,1.506558e-01,0.000000e+00,1.111938e-25,3.000000e-01,2.937620e+00,2.553087e+00
3.050000e-01,2.852945e-25,1.372934e+00,0.000000e+00,1.372934e+00,0.000000e+00,1.541310e-01,0.000000e+00,1.541310e-01,0.000000e+00,2.852945e-25,3.050000e-01,3.054130e+00,2.496619e+00
3.100000e-01,7.194713e-25,1.429893e+00,0.000000e+00,1.429893e+00,0.000000e+00,1.576670e-01,0.000000e+00,1.576670e-01,0.000000e+00,7.194713e-25,3.100000e-01,3.175120e+00,2.440853e+00
3.150000e-01,1.784223e-24,1.489106e+00,0.000000e+00,1.489106e+00,0.000000e+00,1.612664e-01,0.000000e+00,1.612664e-01,0.000000e+00,1.784223e-24,3.150000e-01,3.300746e+00,2.385824e+00
3.200000e-01,4.353086e-24,1.550649e+00,0.000000e+00,1.550649e+00,0.000000e+00,1.649325e-01,0.000000e+00,1.649325e-01,0.000000e+00,4.353086e-24,3.200000e-01,3.431162e+00,2.331571e+00
3.250000e-01,1.045310e-23,1.614591e+00,0.000000e+00,1.614591e+00,0.000000e+00,1.686685e-01,0.000000e+00,1.686685e-01,0.000000e+00,1.045310e-23,3.250000e-01,3.566520e+00,2.278131e+00
3.300000e-01,2.471555e-23,1.681005e+00,0.000000e+00,1.681005e+00,0.000000e+00,1.724776e-01,0.000000e+00,1.724776e-01,0.000000e+00,2.471555e-23,3.300000e-01,3.706965e+00,2.225541e+00
3.350000e-01,5.756267e-23,1.749954e+00,0.000000e+00,1.749954e+00,0.000000e+00,1.763636e-01,0.000000e+00,1.763636e-01,0.000000e+00,5.756267e-23,3.350000e-01,3.852635e+00,2.173837e+00
3.400000e-01,1.321045e-22,1.821502e+00,0.000000e+00,1.821502e+00,0.000000e+00,1.803301e-01,0.000000e+00,1.803301e-01,0.000000e+00,1.321045e-22,3.400000e-01,4.003664e+00,2.123056e+00
3.450000e-01,2.988493e-22,1.895704e+00,0.000000e+00,1.895704e+00,0.000000e+00,1.843811e-01,0.000000e+00,1.843811e-01,0.000000e+00,2.988493e-22,3.450000e-01,4.160169e+00,2.073233e+00
3.500000e-01,6.666382e-22,1.972610e+00,0.000000e+00,1.972610e+00,0.000000e+00,1.885204e-01,0.000000e+00,1.885204e-01,0.000000e+00,6.666382e-22,3.500000e-01,4.322262e+00,2.024403e+00
3.550000e-01,1.466796e-21,2.052265e+00,0.000000e+00,2.052265e+00,0.000000e+00,1.927524e-01,0.000000e+00,1.927524e-01,0.000000e+00,1.466796e-21,3.550000e-01,4.490035e+00,1.976599e+00
3.600000e-01,3.184363e-21,2.134703e+00,0.000000e+00,2.134703e+00,0.000000e+00,1.970814e-01,0.000000e+00,1.970814e-01,0.000000e+00,3.184363e-21,3.600000e-01,4.663568e+00,1.929853e+00
3.650000e-01,6.822991e-21,2.219949e+00,0.000000e+00,2.219949e+00,0.000000e+00,2.015119e-01,0.000000e+00,2.015119e-01,0.000000e+00,6.822991e-21,3.650000e-01,4.842921e+00,1.884193e+00
3.700000e-01,1.443269e-20,2.308019e+00,0.000000e+00,2.308019e+00,0.000000e+00,2.060483e-01,0.000000e+00,2.060483e-01,0.000000e+00,1.443269e-20,3.700000e-01,5.028134e+00,1.839649e+00
3.750000e-01,3.014777e-20,2.398917e+00,0.000000e+00,2.398917e+00,0.000000e+00,2.106955e-01,0.000000e+00,2.106955e-01,0.000000e+00,3.014777e-20,3.750000e-01,5.219225e+00,1.796244e+00
3.800000e-01,6.220278e-20,2.492636e+00,0.000000e+00,2.492636e+00,0.000000e+00,2.154582e-01,0.000000e+00,2.154582e-01,0.000000e+00,6.220278e-20,3.800000e-01,5.416188e+00,1.754001e+00
3.850000e-01,1.267995e-19,2.589154e+00,0.000000e+00,2.589154e+00,0.000000e+00,2.203413e-01,0.000000e+00,2.203413e-01,0.000000e+00,1.267995e-19,3.850000e-01,5.618991e+00,1.712941e+00
3.900000e-01,2.554358e-19,2.688439e+00,0.000000e+00,2.688439e+00,0.000000e+00,2.253497e-01,0.000000e+00,2.253497e-01,0.000000e+00,2.554358e-19,3.900000e-01,5.827577e+00,1.673080e+00
3.950000e-01,5.086290e-19,2.790441e+00,0.000000e+00,2.790441e+00,0.000000e+00,2.304883e-01,0.000000e+00,2.304883e-01,0.000000e+00,5.086290e-19,3.950000e-01,6.041858e+00,1.634431e+00
4.000000e-01,1.001318e-18,2.895098e+00,0.000000e+00,2.895098e+00,0.000000e+00,2.357622e-01,0.000000e+00,2.357622e-01,0.000000e+00,1.001318e-18,4.000000e-01,6.261720e+00,1.597005e+00
4.050000e-01,1.949341e-18,3.002332e+00,0.000000e+00,3.002332e+00,0.000000e+00,2.411763e-01,0.000000e+00,2.411763e-01,0.000000e+00,1.949341e-18,4.050000e-01,6.487016e+00,1.560810e+00
4.100000e-01,3.753520e-18,3.112051e+00,0.000000e+00,3.112051e+00,0.000000e+00,2.467356e-01,0.000000e+00,2.467356e-01,0.000000e+00,3.753520e-18,4.100000e-01,6.717572e+00,1.525849e+00
4.150000e-01,7.150123e-18,3.224148e+00,0.000000e+00,3.224148e+00,0.000000e+00,2.524449e-01,0.000000e+00,2.524449e-01,0.000000e+00,7.150123e-18,4.150000e-01,6.953185e+00,1.492122e+00
4.200000e-01,1.347716e-17,3.338502e+00,0.000000e+00,3.338502e+00,0.000000e+00,2.583092e-01,0.000000e+00,2.583092e-01,0.000000e+00,1.347716e-17,4.200000e-01,7.193622e+00,1.459626e+00
4.250000e-01,2.514071e-17,3.454979e+00,0.000000e+00,3.454979e+00,0.000000e+00,2.643331e-01,0.000000e+00,2.643331e-01,0.000000e+00,2.514071e-17,4.250000e-01,7.438624e+00,1.428356e+00
4.300000e-01,4.642311e-17,3.573431e+00,0.000000e+00,3.573431e+00,0.000000e+00,2.705214e-01,0.000000e+00,2.705214e-01,0.000000e+00,4.642311e-17,4.300000e-01,7.687906e+00,1.398300e+00
4.350000e-01,8.486917e-17,3.693701e+00,0.000000e+00,3.693701e+00,0.000000e+00,2.768785e-01,0.000000e+00,2.768785e-01,0.000000e+00,8.486917e-17,4.350000e-01,7.941158e+00,1.369448e+00
4.400000e-01,1.536402e-16,3.815618e+00,0.000000e+00,3.815618e+00,0.000000e+00,2.834089e-01,0.000000e+00,2.834089e-01,0.000000e+00,1.536402e-16,4.400000e-01,8.198053e+00,1.341782e+00
4.450000e-01,2.754726e-16,3.939004e+00,0.000000e+00,3.939004e+00,0.000000e+00,2.901169e-01,0.000000e+00,2.901169e-01,0.000000e+00,2.754726e-16,4.450000e-01,8.458243e+00,1.315285e+00
4.500000e-01,4.892703e-16,4.063676e+00,0.000000e+00,4.063676e+00,0.000000e+00,2.970068e-01,0.000000e+00,2.970068e-01,0.000000e+00,4.892703e-16,4.500000e-01,8.721365e+00,1.289936e+00
4.550000e-01,8.609812e-16,4.189440e+00,0.000000e+00,4.189440e+00,0.000000e+00,3.040824e-01,0.000000e+00,3.040824e-01,0.000000e+00,8.609812e-16,4.550000e-01,8.987045e+00,1.265711e+00
4.600000e-01,1.501377e-15,4.316103e+00,0.000000e+00,4.316103e+00,0.000000e+00,3.113478e-01,0.000000e+00,3.113478e-01,0.000000e+00,1.501377e-15,4.600000e-01,9.254902e+00,1.242585e+00
4.650000e-01,2.594853e-15,4.443468e+00,0.000000e+00,4.443468e+00,0.000000e+00,3.188067e-01,0.000000e+00,3.188067e-01,0.000000e+00,2.594853e-15,4.650000e-01,9.524549e+00,1.220530e+00
4.700000e-01,4.445683e-15,4.571337e+00,0.000000e+00,4.571337e+00,0.000000e+00,3.264629e-01,0.000000e+00,3.264629e-01,0.000000e+00,4.445683e-15,4.700000e-01,9.795599e+00,1.199518e+00
4.750000e-01,7.551648e-15,4.699514e+00,0.000000e+00,4.699514e+00,0.000000e+00,3.343199e-01,0.000000e+00,3.343199e-01,0.000000e+00,7.551648e-15,4.750000e-01,1.006767e+01,1.179518e+00
4.800000e-01,1.272028e-14,4.827807e+00,0.000000e+00,4.827807e+00,0.000000e+00,3.423813e-01,0.000000e+00,3.423813e-01,0.000000e+00,1.272028e-14,4.800000e-01,1.034038e+01,1.160499e+00
4.850000e-01,2.125086e-14,4.956028e+00,0.000000e+00,4.956028e+00,0.000000e+00,3.506506e-01,0.000000e+00,3.506506e-01,0.000000e+00,2.125086e-14,4.850000e-01,1.061336e+01,1.142428e+00
4.900000e-01,3.521719e-14,5.083995e+00,0.000000e+00,5.083995e+00,0.000000e+00,3.591313e-01,0.000000e+00,3.591313e-01,0.000000e+00,3.521719e-14,4.900000e-01,1.088625e+01,1.125272e+00
4.950000e-01,5.790328e-14,5.211533e+00,0.000000e+00,5.211533e+00,0.000000e+00,3.678268e-01,0.000000e+00,3.678268e-01,0.000000e+00,5.790328e-14,4.950000e-01,1.115872e+01,1.108998e+00
5.000000e-01,9.446992e-14,5.338477e+00,0.000000e+00,5.338477e+00,0.000000e+00,3.767406e-01,0.000000e+00,3.767406e-01,0.000000e+00,9.446992e-14,5.000000e-01,1.143044e+01,1.093572e+00
5.050000e-01,1.529666e-13,5.464671e+00,0.000000e+00,5.464671e+00,0.000000e+00,3.858764e-01,0.000000e+00,3.858764e-01,0.000000e+00,1.529666e-13,5.050000e-01,1.170109e+01,1.078959e+00
5.100000e-01,2.458567e-13,5.589968e+00,0.000000e+00,5.589968e+00,0.000000e+00,3.952377e-01,0.000000e+00,3.952377e-01,0.000000e+00,2.458567e-13,5.100000e-01,1.197041e+01,1.065126e+00
5.150000e-01,3.923007e-13,5.714234e+00,0.000000e+00,5.714234e+00,0.000000e+00,4.048285e-01,0.000000e+00,4.048285e-01,0.000000e+00,3.923007e-13,5.150000e-01,1.223813e+01,1.052040e+00
5.200000e-01,6.215496e-13,5.837346e+00,0.000000e+00,5.837346e+00,0.000000e+00,4.146525e-01,0.000000e+00,4.146525e-01,0.000000e+00,6.215496e-13,5.200000e-01,1.250400e+01,1.039668e+00
5.250000e-01,9.779557e-13,5.959190e+00,0.000000e+00,5.959190e+00,0.000000e+00,4.247140e-01,0.000000e+00,4.247140e-01,0.000000e+00,9.779557e-13,5.250000e-01,1.276781e+01,1.027976e+00
5.300000e-01,1.528324e-12,6.079667e+00,0.000000e+00,6.079667e+00,0.000000e+00,4.350172e-01,0.000000e+00,4.350172e-01,0.000000e+00,1.528324e-12,5.300000e-01,1.302937e+01,1.016933e+00
5.350000e-01,2.372625e-12,6.198686e+00,0.000000e+00,6.198686e+00,0.000000e+00,4.455668e-01,0.000000e+00,4.455668e-01,0.000000e+00,2.372625e-12,5.350000e-01,1.328851e+01,1.006509e+00
5.400000e-01,3.659520e-12,6.316172e+00,0.000000e+00,6.316172e+00,0.000000e+00,4.563677e-01,0.000000e+00,4.563677e-01,0.000000e+00,3.659520e-12,5.400000e-01,1.354508e+01,9.966720e-01
5.450000e-01,5.608709e-12,6.432056e+00,0.000000e+00,6.432056e+00,0.000000e+00,4.674249e-01,0.000000e+00,4.674249e-01,0.000000e+00,5.608709e-12,5.450000e-01,1.379896e+01,9.873932e-01
5.500000e-01,8.542928e-12,6.546282e+00,0.000000e+00,6.546282e+00,0.000000e+00,4.787440e-01,0.000000e+00,4.787440e-01,0.000000e+00,8.542928e-12,5.500000e-01,1.405005e+01,9.786441e-01
5.550000e-01,1.293348e-11,6.658804e+00,0.000000e+00,6.658804e+00,0.000000e+00,4.903308e-01,0.000000e+00,4.903308e-01,0.000000e+00,1.293348e-11,5.550000e-01,1.429827e+01,9.703971e-01
5.600000e-01,1.946471e-11,6.769586e+00,0.000000e+00,6.769586e+00,0.000000e+00,5.021915e-01,0.000000e+00,5.021915e-01,0.000000e+00,1.946471e-11,5.600000e-01,1.454356e+01,9.626257e-01
5.650000e-01,2.912466e-11,6.878600e+00,0.000000e+00,6.878600e+00,0.000000e+00,5.143327e-01,0.000000e+00,5.143327e-01,0.000000e+00,2.912466e-11,5.650000e-01,1.478587e+01,9.553042e-01
5.700000e-01,4.333217e-11,6.985826e+00,0.000000e+00,6.985826e+00,0.000000e+00,5.267616e-01,0.000000e+00,5.267616e-01,0.000000e+00,4.333217e-11,5.700000e-01,1.502518e+01,9.484082e-01
5.750000e-01,6.411373e-11,7.091252e+00,0.000000e+00,7.091252e+00,0.000000e+00,5.394856e-01,0.000000e+00,5.394856e-01,0.000000e+00,6.411373e-11,5.750000e-01,1.526148e+01,9.419142e-01
5.800000e-01,9.434864e-11,7.194874e+00,0.000000e+00,7.194874e+00,0.000000e+00,5.525126e-01,0.000000e+00,5.525126e-01,0.000000e+00,9.434864e-11,5.800000e-01,1.549477e+01,9.357995e-01
5.850000e-01,1.381070e-10,7.296692e+00,0.000000e+00,7.296692e+00,0.000000e+00,5.658513e-01,0.000000e+00,5.658513e-01,0.000000e+00,1.381070e-10,5.850000e-01,1.572509e+01,9.300425e-01
5.900000e-01,2.011138e-10,7.396715e+00,0.000000e+00,7.396715e+00,0.000000e+00,5.795107e-01,0.000000e+00,5.795107e-01,0.000000e+00,2.011138e-10,5.900000e-01,1.595245e+01,9.246228e-01
5.950000e-01,2.913819e-10,7.494954e+00,0.000000e+00,7.494954e+00,0.000000e+00,5.935003e-01,0.000000e+00,5.935003e-01,0.000000e+00,2.913819e-10,5.950000e-01,1.617691e+01,9.195206e-01
6.000000e-01,4.200733e-10,7.591426e+00,0.000000e+00,7.591426e+00,0.000000e+00,6.078304e-01,0.000000e+00,6.078304e-01,0.000000e+00,4.200733e-10,6.000000e-01,1.639851e+01,9.147171e-01
6.050000e-01,6.026646e-10,7.686153e+00,0.000000e+00,7.686153e+00,0.000000e+00,6.225118e-01,0.000000e+00,6.225118e-01,0.000000e+00,6.026646e-10,6.050000e-01,1.661733e+01,9.101944e-01
6.100000e-01,8.605158e-10,7.779158e+00,0.000000e+00,7.779158e+00,0.000000e+00,6.375559e-01,0.000000e+00,6.375559e-01,0.000000e+00,8.605158e-10,6.100000e-01,1.683343e+01,9.059355e-01
6.150000e-01,1.222976e-09,7.870471e+00,0.000000e+00,7.870471e+00,0.000000e+00,6.529750e-01,0.000000e+00,6.529750e-01,0.000000e+00,1.222976e-09,6.150000e-01,1.704689e+01,9.019240e-01
6.200000e-01,1.730193e-09,7.960119e+00,0.000000e+00,7.960119e+00,0.000000e+00,6.687820e-01,0.000000e+00,6.687820e-01,0.000000e+00,1.730193e-09,6.200000e-01,1.725780e+01,8.981445e-01
